fiber;wavelength;element;exptime;arm;X;Y;peak;dcb_wheel;lamp
2;696.7352;Ar;4;r;4030.1071;920.4393;23.0000;12.7000;Ar
63;696.7352;Ar;4;r;3650.6457;907.0650;23.0000;12.7000;Ar
192;696.7352;Ar;4;r;2853.4320;887.0425;23.0000;12.7000;Ar
255;696.7352;Ar;4;r;2465.2308;881.9040;23.0000;12.7000;Ar
339;696.7352;Ar;4;r;2016.7541;880.2921;23.0000;12.7000;Ar
401;696.7352;Ar;4;r;1635.0199;881.9889;23.0000;12.7000;Ar
464;696.7352;Ar;4;r;1246.8549;886.5815;23.0000;12.7000;Ar
525;696.7352;Ar;4;r;870.2484;893.8068;23.0000;12.7000;Ar
587;696.7352;Ar;4;r;486.3812;904.1260;23.0000;12.7000;Ar
650;696.7352;Ar;4;r;94.5140;917.2207;23.0000;12.7000;Ar
2;727.4940;Ar;2;r;4028.1197;1274.2267;24.0000;12.7000;Ar
63;727.4940;Ar;2;r;3649.2007;1259.8228;24.0000;12.7000;Ar
192;727.4940;Ar;2;r;2852.8932;1238.5778;24.0000;12.7000;Ar
255;727.4940;Ar;2;r;2464.9695;1232.9052;24.0000;12.7000;Ar
339;727.4940;Ar;2;r;2017.0042;1231.4078;24.0000;12.7000;Ar
401;727.4940;Ar;2;r;1635.4617;1233.2390;24.0000;12.7000;Ar
464;727.4940;Ar;2;r;1247.5886;1238.2046;24.0000;12.7000;Ar
525;727.4940;Ar;2;r;871.3617;1245.8859;24.0000;12.7000;Ar
587;727.4940;Ar;2;r;487.9867;1256.9860;24.0000;12.7000;Ar
650;727.4940;Ar;2;r;96.6971;1270.8491;24.0000;12.7000;Ar
2;795.0362;Ar;2;r;4026.4733;2054.3492;25.0000;12.7000;Ar
63;795.0362;Ar;2;r;3648.0163;2038.6021;25.0000;12.7000;Ar
192;795.0362;Ar;2;r;2852.4458;2015.4093;25.0000;12.7000;Ar
255;795.0362;Ar;2;r;2464.7476;2009.1043;25.0000;12.7000;Ar
339;795.0362;Ar;2;r;2017.3515;2007.3827;25.0000;12.7000;Ar
401;795.0362;Ar;2;r;1635.9876;2009.0846;25.0000;12.7000;Ar
464;795.0362;Ar;2;r;1248.3257;2014.9605;25.0000;12.7000;Ar
525;795.0362;Ar;2;r;872.4137;2023.4739;25.0000;12.7000;Ar
587;795.0362;Ar;2;r;489.4350;2035.4848;25.0000;12.7000;Ar
650;795.0362;Ar;2;r;98.6345;2051.1857;25.0000;12.7000;Ar
2;826.6794;Ar;2;r;4026.9049;2422.5709;26.0000;12.7000;Ar
63;826.6794;Ar;2;r;3648.3265;2406.3063;26.0000;12.7000;Ar
192;826.6794;Ar;2;r;2852.5324;2382.2633;26.0000;12.7000;Ar
255;826.6794;Ar;2;r;2464.7614;2375.8028;26.0000;12.7000;Ar
339;826.6794;Ar;2;r;2017.5292;2373.8455;26.0000;12.7000;Ar
401;826.6794;Ar;2;r;1636.0668;2375.4660;26.0000;12.7000;Ar
464;826.6794;Ar;2;r;1248.3228;2381.7121;26.0000;12.7000;Ar
525;826.6794;Ar;2;r;872.3315;2390.6169;26.0000;12.7000;Ar
587;826.6794;Ar;2;r;489.2636;2402.9815;26.0000;12.7000;Ar
650;826.6794;Ar;2;r;98.2983;2419.6401;26.0000;12.7000;Ar
2;912.5471;Ar;2;r;4032.4016;3436.1321;28.0000;4.0000;Ar
63;912.5471;Ar;2;r;3652.1032;3417.1891;28.0000;4.0000;Ar
192;912.5471;Ar;2;r;2853.8370;3389.5289;28.0000;4.0000;Ar
255;912.5471;Ar;2;r;2465.2807;3382.5315;28.0000;4.0000;Ar
339;912.5471;Ar;2;r;2017.7020;3379.9473;28.0000;4.0000;Ar
401;912.5471;Ar;2;r;1635.6420;3382.1910;28.0000;4.0000;Ar
464;912.5471;Ar;2;r;1247.1215;3388.8054;28.0000;4.0000;Ar
525;912.5471;Ar;2;r;870.1213;3399.1841;28.0000;4.0000;Ar
587;912.5471;Ar;2;r;485.7267;3413.8815;28.0000;4.0000;Ar
650;912.5471;Ar;2;r;93.0577;3433.5968;28.0000;4.0000;Ar
2;966.0435;Ar;40;r;4040.2585;4086.4942;29.0000;12.7000;Ar
63;966.0435;Ar;40;r;3657.6536;4063.4411;29.0000;12.7000;Ar
192;966.0435;Ar;40;r;2855.9985;4031.2107;29.0000;12.7000;Ar
255;966.0435;Ar;40;r;2466.2577;4023.3486;29.0000;12.7000;Ar
339;966.0435;Ar;40;r;2017.5917;4020.8611;29.0000;12.7000;Ar
401;966.0435;Ar;40;r;1634.5598;4025.1082;29.0000;12.7000;Ar
464;966.0435;Ar;40;r;1244.8839;4030.5769;29.0000;12.7000;Ar
525;966.0435;Ar;40;r;866.4396;4042.4275;29.0000;12.7000;Ar
587;966.0435;Ar;40;r;480.1989;4061.2109;29.0000;12.7000;Ar
650;966.0435;Ar;40;r;85.1182;4083.1630;29.0000;12.7000;Ar
2;932.859;Kr;;r;4043.7094517723644;3689.716665861162;1;12.7000;Kr
63;932.859;Kr;;r;3661.6314320978227;3667.7804724605962;1;12.7000;Kr
192;932.859;Kr;;r;2861.288847089745;3636.2865107538296;1;12.7000;Kr
255;932.859;Kr;;r;2472.1674122512545;3627.137863102284;1;12.7000;Kr
339;932.859;Kr;;r;2023.0582038658151;3622.039825525453;1;12.7000;Kr
401;932.859;Kr;;r;1641.0156234963865;3622.755753872122;1;12.7000;Kr
464;932.859;Kr;;r;1252.574095582479;3627.8627650231056;1;12.7000;Kr
525;932.859;Kr;;r;875.855992084999;3637.0835908946733;1;12.7000;Kr
587;932.859;Kr;;r;491.5487101497742;3650.5306464035166;1;12.7000;Kr
650;932.859;Kr;;r;99.00694744981888;3669.0717537638675;1;12.7000;Kr
2;945.347;Kr;;r;4046.1949416631533;3840.9351837131;2;12.7000;Kr
63;945.347;Kr;;r;3663.5186971947446;3818.346808079903;2;12.7000;Kr
192;945.347;Kr;;r;2862.329864778878;3785.9716079152104;2;12.7000;Kr
255;945.347;Kr;;r;2472.9100819656546;3776.573407446231;2;12.7000;Kr
339;945.347;Kr;;r;2023.432318150078;3771.2597360660393;2;12.7000;Kr
401;945.347;Kr;;r;1641.1182084655761;3772.112359138223;2;12.7000;Kr
464;945.347;Kr;;r;1252.391986947331;3777.421232248657;2;12.7000;Kr
525;945.347;Kr;;r;875.341275773436;3786.935749750919;2;12.7000;Kr
587;945.347;Kr;;r;490.6060879804553;3800.801963216059;2;12.7000;Kr
650;945.347;Kr;;r;97.5127190806754;3819.9203090128312;2;12.7000;Kr
2;954.351;Kr;;r;4048.1612734689056;3950.464097730473;3;12.7000;Kr
63;954.351;Kr;;r;3665.002421145287;3927.37039881504;3;12.7000;Kr
192;954.351;Kr;;r;2863.1385700064748;3894.305711723885;3;12.7000;Kr
255;954.351;Kr;;r;2473.4770442766885;3884.701897299258;3;12.7000;Kr
339;954.351;Kr;;r;2023.6995102362434;3879.1866448716446;3;12.7000;Kr
401;954.351;Kr;;r;1641.1599429426471;3880.170782890523;3;12.7000;Kr
464;954.351;Kr;;r;1252.2037003309135;3885.653374272856;3;12.7000;Kr
525;954.351;Kr;;r;874.8865475620872;3895.406100502864;3;12.7000;Kr
587;954.351;Kr;;r;489.8118860909607;3909.6020224537483;3;12.7000;Kr
650;954.351;Kr;;r;96.27639877472473;3929.1717129704425;3;12.7000;Kr
2;970.688;Kr;;r;4052.153085810216;4150.294630861496;4;12.7000;Kr
63;970.688;Kr;;r;3667.982328503129;4126.183870981223;4;12.7000;Kr
192;970.688;Kr;;r;2864.7370054190164;4091.7327667531777;4;12.7000;Kr
255;970.688;Kr;;r;2474.5736093913993;4081.690031794891;4;12.7000;Kr
339;970.688;Kr;;r;2024.1654209287676;4075.658464130324;4;12.7000;Kr
401;970.688;Kr;;r;1641.149462157289;4076.9860109938436;4;12.7000;Kr
464;970.688;Kr;;r;1251.7189650788814;4082.8660464775357;4;12.7000;Kr
525;970.688;Kr;;r;873.8606061407845;4093.118448750097;4;12.7000;Kr
587;970.688;Kr;;r;488.0961268182408;4107.981063304227;4;12.7000;Kr
650;970.688;Kr;;r;93.6386904433994;4128.4610555789795;4;12.7000;Kr
2;932.859;Kr;;m;4043.7094517723644;3689.716665861162;1;12.7000;Kr
63;932.859;Kr;;m;3661.6314320978227;3667.7804724605962;1;12.7000;Kr
192;932.859;Kr;;m;2861.288847089745;3636.2865107538296;1;12.7000;Kr
255;932.859;Kr;;m;2472.1674122512545;3627.137863102284;1;12.7000;Kr
339;932.859;Kr;;m;2023.0582038658151;3622.039825525453;1;12.7000;Kr
401;932.859;Kr;;m;1641.0156234963865;3622.755753872122;1;12.7000;Kr
464;932.859;Kr;;m;1252.574095582479;3627.8627650231056;1;12.7000;Kr
525;932.859;Kr;;m;875.855992084999;3637.0835908946733;1;12.7000;Kr
587;932.859;Kr;;m;491.5487101497742;3650.5306464035166;1;12.7000;Kr
650;932.859;Kr;;m;99.00694744981888;3669.0717537638675;1;12.7000;Kr
2;945.347;Kr;;m;4046.1949416631533;3840.9351837131;2;12.7000;Kr
63;945.347;Kr;;m;3663.5186971947446;3818.346808079903;2;12.7000;Kr
192;945.347;Kr;;m;2862.329864778878;3785.9716079152104;2;12.7000;Kr
255;945.347;Kr;;m;2472.9100819656546;3776.573407446231;2;12.7000;Kr
339;945.347;Kr;;m;2023.432318150078;3771.2597360660393;2;12.7000;Kr
401;945.347;Kr;;m;1641.1182084655761;3772.112359138223;2;12.7000;Kr
464;945.347;Kr;;m;1252.391986947331;3777.421232248657;2;12.7000;Kr
525;945.347;Kr;;m;875.341275773436;3786.935749750919;2;12.7000;Kr
587;945.347;Kr;;m;490.6060879804553;3800.801963216059;2;12.7000;Kr
650;945.347;Kr;;m;97.5127190806754;3819.9203090128312;2;12.7000;Kr
2;954.351;Kr;;m;4048.1612734689056;3950.464097730473;3;12.7000;Kr
63;954.351;Kr;;m;3665.002421145287;3927.37039881504;3;12.7000;Kr
192;954.351;Kr;;m;2863.1385700064748;3894.305711723885;3;12.7000;Kr
255;954.351;Kr;;m;2473.4770442766885;3884.701897299258;3;12.7000;Kr
339;954.351;Kr;;m;2023.6995102362434;3879.1866448716446;3;12.7000;Kr
401;954.351;Kr;;m;1641.1599429426471;3880.170782890523;3;12.7000;Kr
464;954.351;Kr;;m;1252.2037003309135;3885.653374272856;3;12.7000;Kr
525;954.351;Kr;;m;874.8865475620872;3895.406100502864;3;12.7000;Kr
587;954.351;Kr;;m;489.8118860909607;3909.6020224537483;3;12.7000;Kr
650;954.351;Kr;;m;96.27639877472473;3929.1717129704425;3;12.7000;Kr
2;970.688;Kr;;m;4052.153085810216;4150.294630861496;4;12.7000;Kr
63;970.688;Kr;;m;3667.982328503129;4126.183870981223;4;12.7000;Kr
192;970.688;Kr;;m;2864.7370054190164;4091.7327667531777;4;12.7000;Kr
255;970.688;Kr;;m;2474.5736093913993;4081.690031794891;4;12.7000;Kr
339;970.688;Kr;;m;2024.1654209287676;4075.658464130324;4;12.7000;Kr
401;970.688;Kr;;m;1641.149462157289;4076.9860109938436;4;12.7000;Kr
464;970.688;Kr;;m;1251.7189650788814;4082.8660464775357;4;12.7000;Kr
525;970.688;Kr;;m;873.8606061407845;4093.118448750097;4;12.7000;Kr
587;970.688;Kr;;m;488.0961268182408;4107.981063304227;4;12.7000;Kr
650;970.688;Kr;;m;93.6386904433994;4128.4610555789795;4;12.7000;Kr
2;404.7708;Hg;;b;4033.7878186373323;475.1533702225469;1;12.7000;Hg
63;404.7708;Hg;;b;3653.584453182488;464.61360037710966;1;12.7000;Hg
192;404.7708;Hg;;b;2855.3696235915195;447.75645906845506;1;12.7000;Hg
255;404.7708;Hg;;b;2466.6720117082646;442.1697865215927;1;12.7000;Hg
339;404.7708;Hg;;b;2019.9905584272349;439.4547502825762;1;12.7000;Hg
401;404.7708;Hg;;b;1637.9409758439738;439.13027858475874;1;12.7000;Hg
464;404.7708;Hg;;b;1249.446066111572;441.30280175639666;1;12.7000;Hg
525;404.7708;Hg;;b;872.7802744772151;445.56019304864753;1;12.7000;Hg
587;404.7708;Hg;;b;488.7418911015087;451.4816013644032;1;12.7000;Hg
650;404.7708;Hg;;b;96.66038591584169;459.2110703321519;1;12.7000;Hg
2;435.956;Hg;;b;4032.0490421642;928.1986282871193;2;12.7000;Hg
63;435.956;Hg;;b;3652.7661322373697;916.2965832353595;2;12.7000;Hg
192;435.956;Hg;;b;2855.4822500589867;897.8628341147971;2;12.7000;Hg
255;435.956;Hg;;b;2466.9987930027846;891.9427371127817;2;12.7000;Hg
339;435.956;Hg;;b;2020.3199646761973;889.1025475034648;2;12.7000;Hg
401;435.956;Hg;;b;1638.4533038910342;888.870903202532;2;12.7000;Hg
464;435.956;Hg;;b;1250.1786042494812;891.3773741682951;2;12.7000;Hg
525;435.956;Hg;;b;873.8408761504496;896.201737380725;2;12.7000;Hg
587;435.956;Hg;;b;490.36648491538256;903.0249006392312;2;12.7000;Hg
650;435.956;Hg;;b;99.23234814766013;912.1297107847598;2;12.7000;Hg
2;546.2268;Hg;;b;4034.5614261430346;2544.696457776829;3;12.7000;Hg
63;546.2268;Hg;;b;3655.476559068845;2529.6801143705575;3;12.7000;Hg
192;546.2268;Hg;;b;2857.9573063726925;2507.460023661351;3;12.7000;Hg
255;546.2268;Hg;;b;2469.2583637172306;2500.6635696853587;3;12.7000;Hg
339;546.2268;Hg;;b;2021.5388405600459;2497.408084940524;3;12.7000;Hg
401;546.2268;Hg;;b;1639.399616784228;2497.438745304439;3;12.7000;Hg
464;546.2268;Hg;;b;1250.9342061159966;2500.7081033491445;3;12.7000;Hg
525;546.2268;Hg;;b;874.4752070247188;2506.8425687386716;3;12.7000;Hg
587;546.2268;Hg;;b;490.99180226893316;2515.678880887219;3;12.7000;Hg
650;546.2268;Hg;;b;100.1314531022181;2527.80073361907;3;12.7000;Hg
2;577.121;Hg;;b;4037.4319966049957;3004.71010476838;4;12.7000;Hg
63;577.121;Hg;;b;3657.6864406976715;2988.7091971870873;4;12.7000;Hg
192;577.121;Hg;;b;2859.2475260852957;2965.2899854034067;4;12.7000;Hg
255;577.121;Hg;;b;2470.1929679600325;2958.211917146933;4;12.7000;Hg
339;577.121;Hg;;b;2021.8724835094365;2954.7817850774422;4;12.7000;Hg
401;577.121;Hg;;b;1639.42595300825;2954.9212067591734;4;12.7000;Hg
464;577.121;Hg;;b;1250.613138687757;2958.4366977445798;4;12.7000;Hg
525;577.121;Hg;;b;873.7718494987996;2964.9818865414036;4;12.7000;Hg
587;577.121;Hg;;b;489.8206091286604;2974.443445951511;4;12.7000;Hg
650;577.121;Hg;;b;98.31446554203146;2987.5020082882816;4;12.7000;Hg
2;579.2276;Hg;;b;4037.6721923977384;3036.2347506505166;5;12.7000;Hg
63;579.2276;Hg;;b;3657.8660772454346;3020.1576571046503;5;12.7000;Hg
192;579.2276;Hg;;b;2859.346972501719;2996.6473190813;5;12.7000;Hg
255;579.2276;Hg;;b;2470.2632124178763;2989.548254872952;5;12.7000;Hg
339;579.2276;Hg;;b;2021.893817454698;2986.105827781518;5;12.7000;Hg
401;579.2276;Hg;;b;1639.4208396022946;2986.2543908143275;5;12.7000;Hg
464;579.2276;Hg;;b;1250.5794711513868;2989.7884711563215;5;12.7000;Hg
525;579.2276;Hg;;b;873.7056199025094;2996.3637777528024;5;12.7000;Hg
587;579.2276;Hg;;b;489.71381906897255;3005.872064341107;5;12.7000;Hg
650;579.2276;Hg;;b;98.14915698309403;3019.0038774712975;5;12.7000;Hg